index,db_id,question,gold_sql,predicted_sql,summary,pred_gen_status,pred_gen_error,pred_exec_status,pred_exec_error,pred_exec_result,gold_exec_status,gold_exec_error,gold_exec_result,exec_match,elapsed_sec
0,department_management,How many heads of the departments are older than 56 ?,SELECT count(*) FROM head WHERE age  >  56,SELECT COUNT(*) FROM head WHERE age > 56,Counts the number of heads whose age is greater than 56,ok,,ok,,"[""[('count(*)', 5)]""]",ok,,"[""[('count(*)', 5)]""]",True,58.263
1,department_management,"List the name, born state and age of the heads of departments ordered by age.","SELECT name ,  born_state ,  age FROM head ORDER BY age","SELECT head.name, head.born_state, head.age FROM head JOIN management ON head.head_ID = management.head_ID ORDER BY head.age","Selects the name, born state, and age of heads from the head table joined with the management table, ordered by age.",ok,,ok,,"[""[('age', 52.0), ('born_state', 'California'), ('name', 'Dudley Hart')]"", ""[('age', 53.0), ('born_state', 'Delaware'), ('name', 'Jeff Maggert')]"", ""[('age', 67.0), ('born_state', 'Connecticut'), ('name', 'Franklin Langham')]"", ""[('age', 69.0), ('born_state', 'Alabama'), ('name', 'K. J. Choi')]"", ""[('age', 69.0), ('born_state', 'California'), ('name', 'Billy Mayfair')]""]",ok,,"[""[('age', 43.0), ('born_state', 'Connecticut'), ('name', 'Pádraig Harrington')]"", ""[('age', 50.0), ('born_state', 'Florida'), ('name', 'Stewart Cink')]"", ""[('age', 52.0), ('born_state', 'California'), ('name', 'Dudley Hart')]"", ""[('age', 53.0), ('born_state', 'Delaware'), ('name', 'Jeff Maggert')]"", ""[('age', 56.0), ('born_state', 'California'), ('name', 'Nick Faldo')]"", ""[('age', 67.0), ('born_state', 'Alabama'), ('name', 'Tiger Woods')]"", ""[('age', 67.0), ('born_state', 'Connecticut'), ('name', 'Franklin Langham')]"", ""[('age', 68.0), ('born_state', 'California'), ('name', 'Sergio García')]"", ""[('age', 69.0), ('born_state', 'Alabama'), ('name', 'K. J. Choi')]"", ""[('age', 69.0), ('born_state', 'California'), ('name', 'Billy Mayfair')]""]",False,19.595
2,department_management,"List the creation year, name and budget of each department.","SELECT creation ,  name ,  budget_in_billions FROM department","SELECT department.Creation, department.Name, department.Budget_in_Billions FROM department","Selects creation year, name, and budget of each department",ok,,ok,,"[""[('budget_in_billions', 10.7), ('creation', '1849'), ('name', 'Interior')]"", ""[('budget_in_billions', 11.1), ('creation', '1789'), ('name', 'Treasury')]"", ""[('budget_in_billions', 21.5), ('creation', '1977'), ('name', 'Energy')]"", ""[('budget_in_billions', 23.4), ('creation', '1870'), ('name', 'Justice')]"", ""[('budget_in_billions', 439.3), ('creation', '1947'), ('name', 'Defense')]"", ""[('budget_in_billions', 44.6), ('creation', '2002'), ('name', 'Homeland Security')]"", ""[('budget_in_billions', 46.2), ('creation', '1965'), ('name', 'Housing and Urban Development')]"", ""[('budget_in_billions', 543.2), ('creation', '1953'), ('name', 'Health and Human Services')]"", ""[('budget_in_billions', 58.0), ('creation', '1966'), ('name', 'Transportation')]"", ""[('budget_in_billions', 59.7), ('creation', '1913'), ('name', 'Labor')]"", ""[('budget_in_billions', 6.2), ('creation', '1903'), ('name', 'Commerce')]"", ""[('budget_in_billions', 62.8), ('creation', '1979'), ('name', 'Education')]"", ""[('budget_in_billions', 73.2), ('creation', '1989'), ('name', 'Veterans Affairs')]"", ""[('budget_in_billions', 77.6), ('creation', '1889'), ('name', 'Agriculture')]"", ""[('budget_in_billions', 9.96), ('creation', '1789'), ('name', 'State')]""]",ok,,"[""[('budget_in_billions', 10.7), ('creation', '1849'), ('name', 'Interior')]"", ""[('budget_in_billions', 11.1), ('creation', '1789'), ('name', 'Treasury')]"", ""[('budget_in_billions', 21.5), ('creation', '1977'), ('name', 'Energy')]"", ""[('budget_in_billions', 23.4), ('creation', '1870'), ('name', 'Justice')]"", ""[('budget_in_billions', 439.3), ('creation', '1947'), ('name', 'Defense')]"", ""[('budget_in_billions', 44.6), ('creation', '2002'), ('name', 'Homeland Security')]"", ""[('budget_in_billions', 46.2), ('creation', '1965'), ('name', 'Housing and Urban Development')]"", ""[('budget_in_billions', 543.2), ('creation', '1953'), ('name', 'Health and Human Services')]"", ""[('budget_in_billions', 58.0), ('creation', '1966'), ('name', 'Transportation')]"", ""[('budget_in_billions', 59.7), ('creation', '1913'), ('name', 'Labor')]"", ""[('budget_in_billions', 6.2), ('creation', '1903'), ('name', 'Commerce')]"", ""[('budget_in_billions', 62.8), ('creation', '1979'), ('name', 'Education')]"", ""[('budget_in_billions', 73.2), ('creation', '1989'), ('name', 'Veterans Affairs')]"", ""[('budget_in_billions', 77.6), ('creation', '1889'), ('name', 'Agriculture')]"", ""[('budget_in_billions', 9.96), ('creation', '1789'), ('name', 'State')]""]",True,15.543
3,department_management,What are the maximum and minimum budget of the departments?,"SELECT max(budget_in_billions) ,  min(budget_in_billions) FROM department","SELECT MIN(Budget_in_Billions) AS min_budget, MAX(Budget_in_Billions) AS max_budget FROM department",Selects the minimum and maximum budget from the department table,ok,,ok,,"[""[('max_budget', 543.2), ('min_budget', 6.2)]""]",ok,,"[""[('max(budget_in_billions)', 543.2), ('min(budget_in_billions)', 6.2)]""]",False,16.646
4,department_management,What is the average number of employees of the departments whose rank is between 10 and 15?,SELECT avg(num_employees) FROM department WHERE ranking BETWEEN 10 AND 15,SELECT AVG(Num_Employees) FROM department WHERE Ranking BETWEEN 10 AND 15,Calculates the average number of employees for departments with a ranking between 10 and 15,ok,,ok,,"[""[('avg(num_employees)', 105468.16666666667)]""]",ok,,"[""[('avg(num_employees)', 105468.16666666667)]""]",True,18.05
5,department_management,What are the names of the heads who are born outside the California state?,SELECT name FROM head WHERE born_state != 'California',SELECT head.name FROM head WHERE head.born_state != 'California',Selects the names of heads whose birth state is not California,ok,,ok,,"[""[('name', 'Franklin Langham')]"", ""[('name', 'Jeff Maggert')]"", ""[('name', 'K. J. Choi')]"", ""[('name', 'Pádraig Harrington')]"", ""[('name', 'Stewart Cink')]"", ""[('name', 'Tiger Woods')]""]",ok,,"[""[('name', 'Franklin Langham')]"", ""[('name', 'Jeff Maggert')]"", ""[('name', 'K. J. Choi')]"", ""[('name', 'Pádraig Harrington')]"", ""[('name', 'Stewart Cink')]"", ""[('name', 'Tiger Woods')]""]",True,15.509
6,department_management,What are the distinct creation years of the departments managed by a secretary born in state 'Alabama'?,SELECT DISTINCT T1.creation FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id JOIN head AS T3 ON T2.head_id  =  T3.head_id WHERE T3.born_state  =  'Alabama',SELECT DISTINCT d.Creation FROM department d JOIN management m ON d.Department_ID = m.department_ID JOIN head h ON m.head_ID = h.head_ID WHERE h.born_state = 'Alabama',Selects distinct creation years of departments managed by a secretary born in Alabama,ok,,ok,,"[""[('creation', '1903')]""]",ok,,"[""[('creation', '1903')]""]",True,19.599
7,department_management,What are the names of the states where at least 3 heads were born?,SELECT born_state FROM head GROUP BY born_state HAVING count(*)  >=  3,SELECT born_state FROM head GROUP BY born_state HAVING COUNT(*) >= 3,"Selects the names of states where at least 3 heads were born, using a GROUP BY and HAVING clause to filter results.",ok,,ok,,"[""[('born_state', 'California')]""]",ok,,"[""[('born_state', 'California')]""]",True,17.553
8,department_management,In which year were most departments established?,SELECT creation FROM department GROUP BY creation ORDER BY count(*) DESC LIMIT 1,SELECT Creation FROM department GROUP BY Creation ORDER BY COUNT(*) DESC LIMIT 1,Select the creation year with the most departments established,ok,,ok,,"[""[('creation', '1789')]""]",ok,,"[""[('creation', '1789')]""]",True,14.867
9,department_management,Show the name and number of employees for the departments managed by heads whose temporary acting value is 'Yes'?,"SELECT T1.name ,  T1.num_employees FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id WHERE T2.temporary_acting  =  'Yes'","SELECT department.Name, department.Num_Employees FROM department JOIN management ON department.Department_ID = management.department_ID JOIN head ON management.head_ID = head.head_ID WHERE management.temporary_acting = 'Yes'",Selects the name and number of employees for departments managed by heads whose temporary acting value is 'Yes',ok,,ok,,"[""[('name', 'Homeland Security'), ('num_employees', 208000.0)]"", ""[('name', 'Treasury'), ('num_employees', 115897.0)]"", ""[('name', 'Treasury'), ('num_employees', 115897.0)]""]",ok,,"[""[('name', 'Homeland Security'), ('num_employees', 208000.0)]"", ""[('name', 'Treasury'), ('num_employees', 115897.0)]"", ""[('name', 'Treasury'), ('num_employees', 115897.0)]""]",True,20.935
