index,db_id,question,gold_sql,predicted_sql,summary,pred_gen_status,pred_gen_error,pred_exec_status,pred_exec_error,pred_exec_result,gold_exec_status,gold_exec_error,gold_exec_result,exec_match,elapsed_sec
0,department_management,How many heads of the departments are older than 56 ?,SELECT count(*) FROM head WHERE age  >  56,SELECT COUNT(*) FROM head WHERE age > 56,Counts the number of heads whose age is greater than 56,ok,,ok,,"[""[('count(*)', 5)]""]",ok,,"[""[('count(*)', 5)]""]",True,19.277
1,department_management,"List the name, born state and age of the heads of departments ordered by age.","SELECT name ,  born_state ,  age FROM head ORDER BY age","SELECT head.name, head.born_state, head.age FROM head JOIN management ON head.head_ID = management.head_ID ORDER BY head.age","Selects the name, born state and age of heads from the head table joined with the management table, ordered by age.",ok,,ok,,"[""[('age', 52.0), ('born_state', 'California'), ('name', 'Dudley Hart')]"", ""[('age', 53.0), ('born_state', 'Delaware'), ('name', 'Jeff Maggert')]"", ""[('age', 67.0), ('born_state', 'Connecticut'), ('name', 'Franklin Langham')]"", ""[('age', 69.0), ('born_state', 'Alabama'), ('name', 'K. J. Choi')]"", ""[('age', 69.0), ('born_state', 'California'), ('name', 'Billy Mayfair')]""]",ok,,"[""[('age', 43.0), ('born_state', 'Connecticut'), ('name', 'Pádraig Harrington')]"", ""[('age', 50.0), ('born_state', 'Florida'), ('name', 'Stewart Cink')]"", ""[('age', 52.0), ('born_state', 'California'), ('name', 'Dudley Hart')]"", ""[('age', 53.0), ('born_state', 'Delaware'), ('name', 'Jeff Maggert')]"", ""[('age', 56.0), ('born_state', 'California'), ('name', 'Nick Faldo')]"", ""[('age', 67.0), ('born_state', 'Alabama'), ('name', 'Tiger Woods')]"", ""[('age', 67.0), ('born_state', 'Connecticut'), ('name', 'Franklin Langham')]"", ""[('age', 68.0), ('born_state', 'California'), ('name', 'Sergio García')]"", ""[('age', 69.0), ('born_state', 'Alabama'), ('name', 'K. J. Choi')]"", ""[('age', 69.0), ('born_state', 'California'), ('name', 'Billy Mayfair')]""]",False,13.693
2,department_management,"List the creation year, name and budget of each department.","SELECT creation ,  name ,  budget_in_billions FROM department","SELECT department.Creation, department.Name, department.Budget_in_Billions FROM department","Selects creation year, name, and budget of each department from the 'department' table",ok,,ok,,"[""[('budget_in_billions', 10.7), ('creation', '1849'), ('name', 'Interior')]"", ""[('budget_in_billions', 11.1), ('creation', '1789'), ('name', 'Treasury')]"", ""[('budget_in_billions', 21.5), ('creation', '1977'), ('name', 'Energy')]"", ""[('budget_in_billions', 23.4), ('creation', '1870'), ('name', 'Justice')]"", ""[('budget_in_billions', 439.3), ('creation', '1947'), ('name', 'Defense')]"", ""[('budget_in_billions', 44.6), ('creation', '2002'), ('name', 'Homeland Security')]"", ""[('budget_in_billions', 46.2), ('creation', '1965'), ('name', 'Housing and Urban Development')]"", ""[('budget_in_billions', 543.2), ('creation', '1953'), ('name', 'Health and Human Services')]"", ""[('budget_in_billions', 58.0), ('creation', '1966'), ('name', 'Transportation')]"", ""[('budget_in_billions', 59.7), ('creation', '1913'), ('name', 'Labor')]"", ""[('budget_in_billions', 6.2), ('creation', '1903'), ('name', 'Commerce')]"", ""[('budget_in_billions', 62.8), ('creation', '1979'), ('name', 'Education')]"", ""[('budget_in_billions', 73.2), ('creation', '1989'), ('name', 'Veterans Affairs')]"", ""[('budget_in_billions', 77.6), ('creation', '1889'), ('name', 'Agriculture')]"", ""[('budget_in_billions', 9.96), ('creation', '1789'), ('name', 'State')]""]",ok,,"[""[('budget_in_billions', 10.7), ('creation', '1849'), ('name', 'Interior')]"", ""[('budget_in_billions', 11.1), ('creation', '1789'), ('name', 'Treasury')]"", ""[('budget_in_billions', 21.5), ('creation', '1977'), ('name', 'Energy')]"", ""[('budget_in_billions', 23.4), ('creation', '1870'), ('name', 'Justice')]"", ""[('budget_in_billions', 439.3), ('creation', '1947'), ('name', 'Defense')]"", ""[('budget_in_billions', 44.6), ('creation', '2002'), ('name', 'Homeland Security')]"", ""[('budget_in_billions', 46.2), ('creation', '1965'), ('name', 'Housing and Urban Development')]"", ""[('budget_in_billions', 543.2), ('creation', '1953'), ('name', 'Health and Human Services')]"", ""[('budget_in_billions', 58.0), ('creation', '1966'), ('name', 'Transportation')]"", ""[('budget_in_billions', 59.7), ('creation', '1913'), ('name', 'Labor')]"", ""[('budget_in_billions', 6.2), ('creation', '1903'), ('name', 'Commerce')]"", ""[('budget_in_billions', 62.8), ('creation', '1979'), ('name', 'Education')]"", ""[('budget_in_billions', 73.2), ('creation', '1989'), ('name', 'Veterans Affairs')]"", ""[('budget_in_billions', 77.6), ('creation', '1889'), ('name', 'Agriculture')]"", ""[('budget_in_billions', 9.96), ('creation', '1789'), ('name', 'State')]""]",True,11.819
3,department_management,What are the maximum and minimum budget of the departments?,"SELECT max(budget_in_billions) ,  min(budget_in_billions) FROM department","SELECT MIN(Budget_in_Billions) AS min_budget, MAX(Budget_in_Billions) AS max_budget FROM department",Selects the minimum and maximum budget from the department table,ok,,ok,,"[""[('max_budget', 543.2), ('min_budget', 6.2)]""]",ok,,"[""[('max(budget_in_billions)', 543.2), ('min(budget_in_billions)', 6.2)]""]",False,12.184
4,department_management,What is the average number of employees of the departments whose rank is between 10 and 15?,SELECT avg(num_employees) FROM department WHERE ranking BETWEEN 10 AND 15,SELECT AVG(Num_Employees) AS average_num_employees FROM department WHERE Ranking BETWEEN 10 AND 15,Calculates the average number of employees for departments with a ranking between 10 and 15,ok,,ok,,"[""[('average_num_employees', 105468.16666666667)]""]",ok,,"[""[('avg(num_employees)', 105468.16666666667)]""]",False,14.061
5,department_management,What are the names of the heads who are born outside the California state?,SELECT name FROM head WHERE born_state != 'California',SELECT head.name FROM head WHERE head.born_state != 'California',Selects the names of heads whose birth state is not California,ok,,ok,,"[""[('name', 'Franklin Langham')]"", ""[('name', 'Jeff Maggert')]"", ""[('name', 'K. J. Choi')]"", ""[('name', 'Pádraig Harrington')]"", ""[('name', 'Stewart Cink')]"", ""[('name', 'Tiger Woods')]""]",ok,,"[""[('name', 'Franklin Langham')]"", ""[('name', 'Jeff Maggert')]"", ""[('name', 'K. J. Choi')]"", ""[('name', 'Pádraig Harrington')]"", ""[('name', 'Stewart Cink')]"", ""[('name', 'Tiger Woods')]""]",True,11.355
6,department_management,What are the distinct creation years of the departments managed by a secretary born in state 'Alabama'?,SELECT DISTINCT T1.creation FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id JOIN head AS T3 ON T2.head_id  =  T3.head_id WHERE T3.born_state  =  'Alabama',SELECT DISTINCT d.Creation FROM department d JOIN management m ON d.Department_ID = m.department_ID JOIN head h ON m.head_ID = h.head_ID WHERE h.born_state = 'Alabama',Selects distinct creation years of departments managed by a secretary born in Alabama,ok,,ok,,"[""[('creation', '1903')]""]",ok,,"[""[('creation', '1903')]""]",True,14.724
7,department_management,What are the names of the states where at least 3 heads were born?,SELECT born_state FROM head GROUP BY born_state HAVING count(*)  >=  3,SELECT born_state FROM head GROUP BY born_state HAVING COUNT(*) >= 3,Selects the states where at least 3 heads were born,ok,,ok,,"[""[('born_state', 'California')]""]",ok,,"[""[('born_state', 'California')]""]",True,11.72
8,department_management,In which year were most departments established?,SELECT creation FROM department GROUP BY creation ORDER BY count(*) DESC LIMIT 1,SELECT Creation FROM department GROUP BY Creation ORDER BY COUNT(*) DESC LIMIT 1,Finds the year with the highest number of departments established,ok,,ok,,"[""[('creation', '1789')]""]",ok,,"[""[('creation', '1789')]""]",True,11.093
9,department_management,Show the name and number of employees for the departments managed by heads whose temporary acting value is 'Yes'?,"SELECT T1.name ,  T1.num_employees FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id WHERE T2.temporary_acting  =  'Yes'","SELECT department.Name, department.Num_Employees FROM department JOIN management ON department.Department_ID = management.department_ID JOIN head ON management.head_ID = head.head_ID WHERE management.temporary_acting = 'Yes'",Selects the name and number of employees for departments managed by heads with a temporary acting value of 'Yes',ok,,ok,,"[""[('name', 'Homeland Security'), ('num_employees', 208000.0)]"", ""[('name', 'Treasury'), ('num_employees', 115897.0)]"", ""[('name', 'Treasury'), ('num_employees', 115897.0)]""]",ok,,"[""[('name', 'Homeland Security'), ('num_employees', 208000.0)]"", ""[('name', 'Treasury'), ('num_employees', 115897.0)]"", ""[('name', 'Treasury'), ('num_employees', 115897.0)]""]",True,16.34
10,department_management,How many acting statuses are there?,SELECT count(DISTINCT temporary_acting) FROM management,SELECT COUNT(DISTINCT temporary_acting) AS acting_statuses_count FROM management,Counts the distinct number of acting statuses in the management table,ok,,ok,,"[""[('acting_statuses_count', 2)]""]",ok,,"[""[('count(distinct temporary_acting)', 2)]""]",False,11.099
11,department_management,How many departments are led by heads who are not mentioned?,SELECT count(*) FROM department WHERE department_id NOT IN (SELECT department_id FROM management);,SELECT COUNT(DISTINCT d.Department_ID) AS department_count FROM department d LEFT JOIN management m ON d.Department_ID = m.department_ID WHERE m.head_ID IS NULL,Counts the number of departments that do not have a corresponding head in the management table.,ok,,ok,,"[""[('department_count', 11)]""]",ok,,"[""[('count(*)', 11)]""]",False,14.022
12,department_management,What are the distinct ages of the heads who are acting?,SELECT DISTINCT T1.age FROM management AS T2 JOIN head AS T1 ON T1.head_id  =  T2.head_id WHERE T2.temporary_acting  =  'Yes',SELECT DISTINCT h.age FROM head h JOIN management m ON h.head_ID = m.head_ID WHERE m.temporary_acting = 'acting',Selects distinct ages of heads who are temporarily acting,ok,,ok,,[],ok,,"[""[('age', 52.0)]"", ""[('age', 53.0)]"", ""[('age', 69.0)]""]",False,12.933
13,department_management,List the states where both the secretary of 'Treasury' department and the secretary of 'Homeland Security' were born.,SELECT T3.born_state FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id JOIN head AS T3 ON T2.head_id  =  T3.head_id WHERE T1.name  =  'Treasury' INTERSECT SELECT T3.born_state FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id JOIN head AS T3 ON T2.head_id  =  T3.head_id WHERE T1.name  =  'Homeland Security',SELECT h1.born_state FROM head AS h1 JOIN management AS m1 ON h1.head_ID = m1.head_ID JOIN department AS d1 ON m1.department_ID = d1.Department_ID WHERE d1.Name = 'Treasury' AND (SELECT COUNT(*) FROM head AS h2 JOIN management AS m2 ON h2.head_ID = m2.head_ID JOIN department AS d2 ON m2.department_ID = d2.Department_ID WHERE d2.Name = 'Homeland Security' AND h2.born_state = h1.born_state) > 0,Select the birth state of heads where one is the secretary of Treasury and another is the secretary of Homeland Security.,ok,,ok,,"[""[('born_state', 'California')]""]",ok,,"[""[('born_state', 'California')]""]",True,25.6
14,department_management,"Which department has more than 1 head at a time? List the id, name and the number of heads.","SELECT T1.department_id ,  T1.name ,  count(*) FROM management AS T2 JOIN department AS T1 ON T1.department_id  =  T2.department_id GROUP BY T1.department_id HAVING count(*)  >  1","SELECT department.Department_ID, department.Name, COUNT(management.head_ID) AS Number_of_Heads FROM department JOIN management ON department.Department_ID = management.department_ID GROUP BY department.Department_ID, department.Name HAVING COUNT(management.head_ID) > 1",Counts the number of heads for each department and filters those with more than one head,ok,,ok,,"[""[('department_id', 2), ('name', 'Treasury'), ('number_of_heads', 2)]""]",ok,,"[""[('count(*)', 2), ('department_id', 2), ('name', 'Treasury')]""]",False,17.3
15,department_management,Which head's name has the substring 'Ha'? List the id and name.,"SELECT head_id ,  name FROM head WHERE name LIKE '%Ha%'","SELECT head_ID, name FROM head WHERE name LIKE '%Ha%';",Selects head IDs and names where the name contains 'Ha' as a substring.,ok,,ok,,"[""[('head_id', 10), ('name', 'Franklin Langham')]"", ""[('head_id', 4), ('name', 'Dudley Hart')]"", ""[('head_id', 9), ('name', 'Pádraig Harrington')]""]",ok,,"[""[('head_id', 10), ('name', 'Franklin Langham')]"", ""[('head_id', 4), ('name', 'Dudley Hart')]"", ""[('head_id', 9), ('name', 'Pádraig Harrington')]""]",True,12.376
16,farm,How many farms are there?,SELECT count(*) FROM farm,SELECT COUNT(Farm_ID) AS farm_count FROM farm,Counts the number of farms in the database,ok,,ok,,"[""[('farm_count', 8)]""]",ok,,"[""[('count(*)', 8)]""]",False,29.942
