index,db_id,question,gold_sql,predicted_sql,summary,pred_gen_status,pred_gen_error,pred_exec_status,pred_exec_error,pred_exec_result,gold_exec_status,gold_exec_error,gold_exec_result,exec_match,elapsed_sec
0,department_management,How many heads of the departments are older than 56 ?,SELECT count(*) FROM head WHERE age  >  56,SELECT COUNT(*) AS head_count FROM head WHERE age > 56,Counts the number of heads whose age is greater than 56,ok,,ok,,"[('5',)]",ok,,"[('5',)]",True,58.302
1,department_management,"List the name, born state and age of the heads of departments ordered by age.","SELECT name ,  born_state ,  age FROM head ORDER BY age","SELECT head.name, head.born_state, head.age FROM head JOIN management ON head.head_ID = management.head_ID ORDER BY head.age","Selects the name, born state and age of heads from the head table joined with the management table, ordered by age.",ok,,ok,,"[('52.0', 'california', 'dudley hart'), ('53.0', 'delaware', 'jeff maggert'), ('67.0', 'connecticut', 'franklin langham'), ('69.0', 'alabama', 'k. j. choi'), ('69.0', 'billy mayfair', 'california')]",ok,,"[('43.0', 'connecticut', 'pádraig harrington'), ('50.0', 'florida', 'stewart cink'), ('52.0', 'california', 'dudley hart'), ('53.0', 'delaware', 'jeff maggert'), ('56.0', 'california', 'nick faldo'), ('67.0', 'alabama', 'tiger woods'), ('67.0', 'connecticut', 'franklin langham'), ('68.0', 'california', 'sergio garcía'), ('69.0', 'alabama', 'k. j. choi'), ('69.0', 'billy mayfair', 'california')]",False,18.065
2,department_management,"List the creation year, name and budget of each department.","SELECT creation ,  name ,  budget_in_billions FROM department","SELECT department.Creation, department.Name, department.Budget_in_Billions FROM department","Selects creation year, name and budget of each department from the department table",ok,,ok,,"[('10.7', '1849', 'interior'), ('11.1', '1789', 'treasury'), ('1789', '9.96', 'state'), ('1870', '23.4', 'justice'), ('1889', '77.6', 'agriculture'), ('1903', '6.2', 'commerce'), ('1913', '59.7', 'labor'), ('1947', '439.3', 'defense'), ('1953', '543.2', 'health and human services'), ('1965', '46.2', 'housing and urban development'), ('1966', '58.0', 'transportation'), ('1977', '21.5', 'energy'), ('1979', '62.8', 'education'), ('1989', '73.2', 'veterans affairs'), ('2002', '44.6', 'homeland security')]",ok,,"[('10.7', '1849', 'interior'), ('11.1', '1789', 'treasury'), ('1789', '9.96', 'state'), ('1870', '23.4', 'justice'), ('1889', '77.6', 'agriculture'), ('1903', '6.2', 'commerce'), ('1913', '59.7', 'labor'), ('1947', '439.3', 'defense'), ('1953', '543.2', 'health and human services'), ('1965', '46.2', 'housing and urban development'), ('1966', '58.0', 'transportation'), ('1977', '21.5', 'energy'), ('1979', '62.8', 'education'), ('1989', '73.2', 'veterans affairs'), ('2002', '44.6', 'homeland security')]",True,13.775
3,department_management,What are the maximum and minimum budget of the departments?,"SELECT max(budget_in_billions) ,  min(budget_in_billions) FROM department","SELECT MAX(Budget_in_Billions) AS max_budget, MIN(Budget_in_Billions) AS min_budget FROM department",Selects the maximum and minimum budget from the department table,ok,,ok,,"[('543.2', '6.2')]",ok,,"[('543.2', '6.2')]",True,14.365
4,department_management,What is the average number of employees of the departments whose rank is between 10 and 15?,SELECT avg(num_employees) FROM department WHERE ranking BETWEEN 10 AND 15,SELECT AVG(Num_Employees) AS average_num_employees FROM department WHERE Ranking BETWEEN 10 AND 15,Calculates the average number of employees for departments with a ranking between 10 and 15,ok,,ok,,"[('105468.16666666667',)]",ok,,"[('105468.16666666667',)]",True,17.169
5,department_management,What are the names of the heads who are born outside the California state?,SELECT name FROM head WHERE born_state != 'California',SELECT head.name FROM head WHERE head.born_state != 'California',Selects the names of heads whose birth state is not California,ok,,ok,,"[('franklin langham',), ('jeff maggert',), ('k. j. choi',), ('pádraig harrington',), ('stewart cink',), ('tiger woods',)]",ok,,"[('franklin langham',), ('jeff maggert',), ('k. j. choi',), ('pádraig harrington',), ('stewart cink',), ('tiger woods',)]",True,13.639
6,department_management,What are the distinct creation years of the departments managed by a secretary born in state 'Alabama'?,SELECT DISTINCT T1.creation FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id JOIN head AS T3 ON T2.head_id  =  T3.head_id WHERE T3.born_state  =  'Alabama',SELECT DISTINCT d.Creation FROM department d JOIN management m ON d.Department_ID = m.department_ID JOIN head h ON m.head_ID = h.head_ID WHERE h.born_state = 'Alabama',Selects distinct creation years of departments managed by a secretary born in Alabama,ok,,ok,,"[('1903',)]",ok,,"[('1903',)]",True,17.677
7,department_management,What are the names of the states where at least 3 heads were born?,SELECT born_state FROM head GROUP BY born_state HAVING count(*)  >=  3,SELECT born_state FROM head GROUP BY born_state HAVING COUNT(*) >= 3,Selects the states where at least 3 heads were born,ok,,ok,,"[('california',)]",ok,,"[('california',)]",True,14.038
8,department_management,In which year were most departments established?,SELECT creation FROM department GROUP BY creation ORDER BY count(*) DESC LIMIT 1,SELECT TO_YEAR(Creation) AS Year FROM department GROUP BY TO_YEAR(Creation) ORDER BY COUNT(Department_ID) DESC LIMIT 1,Finds the year with the highest number of departments established,ok,,error,no such function: TO_YEAR,,ok,,"[('1789',)]",False,15.331
9,department_management,Show the name and number of employees for the departments managed by heads whose temporary acting value is 'Yes'?,"SELECT T1.name ,  T1.num_employees FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id WHERE T2.temporary_acting  =  'Yes'","SELECT department.Name, department.Num_Employees FROM department JOIN management ON department.Department_ID = management.department_ID JOIN head ON management.head_ID = head.head_ID WHERE management.temporary_acting = 'Yes'",Selects the name and number of employees for departments managed by heads with a temporary acting value of 'Yes',ok,,ok,,"[('115897.0', 'treasury'), ('115897.0', 'treasury'), ('208000.0', 'homeland security')]",ok,,"[('115897.0', 'treasury'), ('115897.0', 'treasury'), ('208000.0', 'homeland security')]",True,18.742
